Date,NFT,REIT,AAA,TY,BTC,ETH,OIL,GOLD,S&P
1/3/2019,0.418613134,0.013752768,0.007096451,2.554,-0.027422322,-0.038880705,0.011748506,0.008395572,-0.025068276
1/4/2019,0.118457845,0.005043075,-0.007845544,2.659,0.005452332,0.035872309,0.018306666,-0.007069363,0.033759378
1/7/2019,-3.128968051,0.014899569,0.000860613,2.682,-0.0126847,-0.039087681,0.011608754,0.003191285,0.006985976
1/8/2019,0.690133185,0.010735195,-0.000478027,2.716,0.001390155,-0.008869753,0.025637213,-0.002801558,0.009648598
1/9/2019,-0.287250945,-0.001822854,-0.000127512,2.728,0.001103002,0.002945134,0.050529644,0.004742477,0.004089652
1/10/2019,-0.298468001,0.011288212,-0.001276019,2.731,-0.092459282,-0.159072502,0.004383047,-0.003574207,0.004508268
1/11/2019,-0.609238987,0.005841928,0.002168264,2.701,0.00229177,-0.008407304,-0.019198132,0.001866398,-0.000146354
1/14/2019,0.173575442,0.000812137,-0.002695097,2.71,0.042188102,0.099044939,-0.021156519,0.001552675,-0.005271432
1/15/2019,-0.903855601,0.00706642,-0.000111788,2.711,-0.020548563,-0.056055858,0.031185532,-0.002252166,0.010664642
1/16/2019,0.510321083,0.007590466,0.00071842,2.731,0.006679301,0.01233302,0.003830688,0.004189625,0.002219502
1/17/2019,-0.091909459,0.001538376,0.000973034,2.749,0.006424486,0.001575922,-0.00459859,-0.000464648,0.007562783
1/18/2019,0.039061109,0.003715482,0.001067653,2.784,-0.005649816,-0.022322754,0.0326845,-0.007541924,0.013096913
1/22/2019,0.250039731,-0.00060079,0.005208841,2.73,0.00795053,0.013477632,-0.023127852,0.000936111,-0.014258454
1/23/2019,-0.107788505,-0.00343125,0.000680859,2.755,-0.005411672,-0.010964921,0.000950661,0.000467727,0.002200471
1/24/2019,-0.228683732,0.006715968,0.003965093,2.712,0.004381431,-0.000764183,0.009645465,-0.003122319,0.001374732
1/25/2019,0.635253202,0.008795865,-0.001925293,2.753,-0.00030542,-0.008424263,0.010485024,0.014205556,0.008452894
1/28/2019,0.377917294,0.012332427,0.001073571,2.744,-0.032185563,-0.061978585,-0.032175372,0.003846454,-0.007877809
1/29/2019,-0.497280223,0.008278422,0.001954727,2.712,-0.006456127,-0.009347997,0.025072538,0.00444343,-0.001457271
1/30/2019,3.527805337,0.010083445,3.15E-05,2.695,0.010978783,0.030857807,0.01711033,0.001298652,0.015429592
1/31/2019,-3.323729883,0.00506836,0.006967794,2.635,-0.008176607,-0.017100379,-0.008146685,0.00745364,0.008560631
2/1/2019,-0.156086448,-0.010640028,-0.002521003,2.691,0.008682383,0.005112723,0.026961743,-0.002123948,0.000898232
2/4/2019,0.08603852,0.010640028,-0.001160857,2.724,-0.001403801,0.003055387,-0.012748306,-0.001976285,0.006753349
2/5/2019,0.667115342,0.001774279,0.002915271,2.702,0.002080242,-0.003512714,-0.016633169,-7.61E-05,0.004697431
2/6/2019,0.1473774,0.001856755,0.000453767,2.702,-0.015287694,-0.023773936,0.00650137,-0.003582731,-0.002226973
2/7/2019,-0.533524808,0.008440431,0.002796287,2.652,-0.004196583,-0.003666555,-0.025692928,-7.64E-05,-0.009401172
2/8/2019,-0.348508817,0.000240578,0.000670571,2.632,0.075693936,0.131846109,0.001518603,0.003278566,0.000676034
2/11/2019,0.049198828,0.001314729,-0.000998222,2.661,-0.011380348,-0.028510874,-0.005897477,-0.005113149,0.000708791
2/12/2019,-0.30312242,-0.006178785,-0.002187091,2.684,0.00139631,0.010447403,0.013079515,0.001681829,0.012807878
2/13/2019,-0.03375848,0.003802523,-0.000672711,2.708,-0.005890543,-0.000152452,0.01495355,0.001221374,0.003019414
2/14/2019,-0.029029615,0.003900828,0.001844961,2.657,-0.004190874,-0.009538326,0.009417483,-0.000763184,-0.002655146
2/15/2019,0.304838909,0.003548478,-4.69E-05,2.666,0.001085963,0.005833367,0.021455368,0.006316852,0.010819962
2/19/2019,0.963282334,-0.000224886,0.000296687,2.647,0.007981955,-0.005161762,0.008954215,0.016552932,0.001497653
2/20/2019,-0.178368982,-0.004495027,-0.000984091,2.654,0.013269765,0.028541364,0.01468923,0.002385035,0.001775555
2/21/2019,-0.139466128,-0.002630343,-0.004840804,2.688,-0.01149189,-0.023157373,0.000702494,-0.01484953,-0.003532645
2/22/2019,-0.521394575,0.008600496,0.002681787,2.655,0.012917451,0.020064191,0.005253033,0.004297515,0.006390624
2/25/2019,0.048044174,-0.005221975,-0.00036029,2.673,0.018788447,0.028805419,-0.031579704,-0.002485783,0.001231038
2/26/2019,0.290343772,-0.0055757,0.002269225,2.636,-0.007325399,-0.012473043,0.000360425,-0.000603546,-0.000790696
2/27/2019,0.456253224,-0.00609224,-0.006303926,2.693,-0.000859279,-0.014322659,0.025615061,-0.005600136,-0.00054419
